path,split,label,class_id,width,height,status
data\isl_alphabet_digits\train\0\Output Image -42.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (11).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (376).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (323).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (348).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (446).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (425).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -434.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -465.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -103.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -412.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (495).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (124).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (139).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -301.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -52.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (129).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (326).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -381.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (190).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (477).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -184.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (405).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (442).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -420.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -259.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (278).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -295.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (39).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (144).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (136).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (456).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -398.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -382.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -374.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (149).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (13).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -230.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -120.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -334.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -5.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (73).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -379.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -484.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -147.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (333).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -212.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -177.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (106).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -388.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -12.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -144.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -491.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -347.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (77).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -278.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -34.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (337).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -498.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (257).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -369.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (398).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (107).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -475.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (153).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -459.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (367).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -399.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (249).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (362).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (184).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (458).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -68.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (420).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (23).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (472).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -65.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -162.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -274.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (280).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (85).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -297.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (80).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -122.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (336).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -72.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -61.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -392.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (441).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -455.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (468).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -78.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (61).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -403.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -469.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (383).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -461.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (133).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -387.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -303.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (71).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -175.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (57).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (295).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (117).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (94).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (435).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (113).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -150.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -92.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -377.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (173).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (308).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -477.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -307.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -196.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (482).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -289.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -84.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -250.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (481).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -326.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -449.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -476.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (385).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -23.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (371).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -43.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -422.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -135.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (463).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -210.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -6.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (66).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -320.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (87).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (146).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -470.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (98).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (309).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -401.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (50).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -29.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (431).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -342.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -115.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (162).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (432).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -273.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (262).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (320).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (374).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (91).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (445).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -110.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -224.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -199.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (277).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (103).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -351.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (279).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -386.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -473.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (72).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -264.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -430.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (24).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (454).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (197).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -127.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (222).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (116).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (395).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (316).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (141).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (313).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (438).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (461).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -26.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (45).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (78).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (263).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -361.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (198).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -219.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -254.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -457.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -384.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -139.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (92).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (424).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (167).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -187.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (399).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -332.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (334).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (400).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -22.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -408.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (437).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (67).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (327).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -106.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -157.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -47.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -67.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -220.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -214.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (364).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (490).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (265).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (368).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -49.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (421).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (252).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -363.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (32).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (68).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (492).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -417.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -89.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (328).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -394.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -114.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (284).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -446.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -20.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -340.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (237).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -343.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (137).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (491).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -234.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (53).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -94.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (372).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -486.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -410.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -432.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -14.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -25.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (41).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (247).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -494.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -336.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -423.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -302.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (347).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -474.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -183.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -317.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -168.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (123).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -463.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -341.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (217).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (234).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -364.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (240).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -117.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (306).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (396).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -166.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (147).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (199).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -262.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -154.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -180.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -372.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -101.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -471.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (299).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -478.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (76).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -427.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (289).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -105.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (412).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (342).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -160.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (422).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -82.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -24.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (35).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -10.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (82).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -140.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (282).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (341).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -451.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -209.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -481.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -18.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -247.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (171).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -3.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -453.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (483).jpeg,train,0,26,400,400,accepted
